iter	Passed	Remaining
0	8	814
1	17	859
2	25	817
3	28	683
4	33	642
5	38	601
6	43	577
7	48	553
8	55	565
9	63	569
10	70	571
11	76	564
12	83	556
13	87	537
14	92	525
15	97	511
16	105	515
17	110	502
18	118	506
19	121	487
20	129	486
21	134	478
22	138	463
23	141	447
24	147	441
25	153	437
26	156	424
27	163	420
28	169	415
29	174	406
30	179	398
31	184	391
32	189	385
33	197	383
34	201	374
35	210	374
36	217	369
37	222	362
38	225	353939	233	350
40	237	341
41	242	334
42	247	327
43	254	324
44	258	315
45	261	306
46	264	298
47	268	290
48	272	283
49	276	275050	281	270
51	286	265252	289	255353	292	245454	297	245555	300	235656	303	225757	305	225858	308	215959	310	206060	313	206161	317	196262	319	186363	322	186464	325	176565	329	166666	333	166767	335	156868	339	156969	342	147070	345	147171	349	137272	351	130
73	354	124
74	357	119
75	360	113
76	363	108
77	366	103
78	370	98
79	373	93
80	376	88
81	379	83
82	382	78
83	385	73
84	388	68
85	390	63
86	394	58
87	397	54
88	400	49
89	403	44
90	406	49191	409	35
92	412	39393	415	26
94	417	29595	420	17
96	423	13
97	425	8
98	427	4
99	429	0
34	0
